B00, 0
B01, 0
B02, 0
B03, 0
B04, 3
B04, Trade, 98.136, 131, B04, S00, 1
B04, Trade, 4712.864, 170, S00, B04, 1
B04, Trade, 4807.500, 168, B04, S03, 1
B05, 17
B05, Trade, 99.091, 181, B05, S03, 1
B05, Trade, 687.227, 197, B05, S02, 1
B05, Trade, 787.545, 191, B05, S01, 1
B05, Trade, 885.955, 188, B05, S00, 1
B05, Trade, 2454.136, 188, B05, S02, 1
B05, Trade, 2844.773, 189, B05, S02, 1
B05, Trade, 2943.273, 194, B05, S01, 1
B05, Trade, 3042.318, 192, B05, S03, 1
B05, Trade, 3237.182, 190, B05, S02, 1
B05, Trade, 3335.864, 155, S00, B05, 1
B05, Trade, 3433.727, 179, B05, S01, 1
B05, Trade, 3629.409, 179, B05, S00, 1
B05, Trade, 5199.773, 183, B05, S00, 1
B05, Trade, 5394.682, 182, S03, B05, 1
B05, Trade, 5493.045, 187, S03, B05, 1
B05, Trade, 5888.227, 193, B05, S01, 1
B05, Trade, 5983.545, 190, B05, S03, 1
B06, 39
B06, Trade, 196.273, 162, S01, B06, 1
B06, Trade, 296.364, 200, S04, B06, 1
B06, Trade, 394.591, 196, S00, B06, 1
B06, Trade, 686.773, 196, B06, S01, 1
B06, Trade, 785.273, 186, S04, B06, 1
B06, Trade, 1177.000, 199, S00, B06, 1
B06, Trade, 1571.045, 207, S04, B06, 1
B06, Trade, 1667.500, 207, B06, S00, 1
B06, Trade, 1766.500, 209, B06, S02, 1
B06, Trade, 1863.682, 210, B06, S02, 1
B06, Trade, 1961.818, 208, B06, S01, 1
B06, Trade, 2061.636, 184, S01, B06, 1
B06, Trade, 2158.591, 183, S02, B06, 1
B06, Trade, 2256.409, 183, S02, B06, 1
B06, Trade, 2453.864, 195, S04, B06, 1
B06, Trade, 2550.773, 193, S03, B06, 1
B06, Trade, 2649.409, 198, B06, S02, 1
B06, Trade, 2747.045, 188, S03, B06, 1
B06, Trade, 2942.864, 189, S02, B06, 1
B06, Trade, 3434.955, 164, S03, B06, 1
B06, Trade, 3531.636, 166, B06, S02, 1
B06, Trade, 3728.091, 200, B06, S02, 1
B06, Trade, 3924.000, 199, B06, S02, 1
B06, Trade, 4022.227, 201, S00, B06, 1
B06, Trade, 4119.727, 205, B06, S03, 1
B06, Trade, 4218.045, 203, B06, S00, 1
B06, Trade, 4315.909, 182, S01, B06, 1
B06, Trade, 4417.091, 174, S01, B06, 1
B06, Trade, 4514.136, 174, S01, B06, 1
B06, Trade, 4611.773, 171, S00, B06, 1
B06, Trade, 5198.500, 176, B06, S01, 1
B06, Trade, 5296.364, 185, B06, S02, 1
B06, Trade, 5395.364, 183, B06, S01, 1
B06, Trade, 5492.409, 186, S00, B06, 1
B06, Trade, 5788.773, 193, B06, S02, 1
B06, Trade, 5887.636, 194, S04, B06, 1
B06, Trade, 5983.182, 186, S00, B06, 1
B06, Trade, 6081.227, 196, B06, S02, 1
