B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
S12, Trade, 49.650, 215, B29, S12, 1
S12, Trade, 51.538, 215, B31, S12, 1
S13, 2
S13, Trade, 7.825, 195, B22, S13, 1
S13, Trade, 54.175, 216, S13, B24, 1
S14, 3
S14, Trade, 5.025, 180, S14, B29, 1
S14, Trade, 47.113, 216, B27, S14, 1
S14, Trade, 56.350, 213, B22, S14, 1
S15, 2
S15, Trade, 4.500, 183, S15, B32, 1
S15, Trade, 46.938, 216, S15, B28, 1
S16, 4
S16, Trade, 6.938, 227, S16, B36, 1
S16, Trade, 20.137, 218, B34, S16, 1
S16, Trade, 24.387, 218, B24, S16, 1
S16, Trade, 46.138, 216, B37, S16, 1
S17, 5
S17, Trade, 2.700, 204, S17, B37, 1
S17, Trade, 19.250, 218, B27, S17, 1
S17, Trade, 45.350, 217, B36, S17, 1
S17, Trade, 48.888, 215, B39, S17, 1
S17, Trade, 53.525, 215, B26, S17, 1
S18, 2
S18, Trade, 9.825, 225, S18, B35, 1
S18, Trade, 45.550, 216, B31, S18, 1
S19, 2
S19, Trade, 11.262, 223, S19, B38, 1
S19, Trade, 46.063, 216, B25, S19, 1
S20, 2
S20, Trade, 16.650, 222, S20, B38, 1
S20, Trade, 42.725, 217, B33, S20, 1
S21, 3
S21, Trade, 8.688, 217, S21, B28, 1
S21, Trade, 19.837, 219, S21, B30, 1
S21, Trade, 44.763, 217, B35, S21, 1
S22, 4
S22, Trade, 6.038, 230, S22, B39, 1
S22, Trade, 31.112, 217, B35, S22, 1
S22, Trade, 43.600, 217, B29, S22, 1
S22, Trade, 54.313, 215, B38, S22, 1
S23, 1
S23, Trade, 3.288, 228, S23, B33, 1
S24, 0
S25, 0
S26, 0
S27, 0
S28, 0
S29, 0
S30, 0
S31, 0
S32, 0
S33, 0
S34, 0
S35, 0
S36, 0
S37, 0
S38, 0
S39, 0
