B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 98.409, 138, B04, S00, 1
B05, 6
B05, Trade, 196.500, 155, S01, B05, 1
B05, Trade, 494.136, 199, B05, S01, 1
B05, Trade, 6080.909, 187, S01, B05, 1
B05, Trade, 6180.727, 191, B05, S02, 1
B05, Trade, 6277.091, 192, B05, S03, 1
B05, Trade, 6472.727, 200, B05, S03, 1
B06, 18
B06, Trade, 99.045, 150, B06, S02, 1
B06, Trade, 295.273, 206, B06, S02, 1
B06, Trade, 392.955, 203, B06, S03, 1
B06, Trade, 490.591, 186, S02, B06, 1
B06, Trade, 982.182, 202, B06, S03, 1
B06, Trade, 1079.227, 200, S03, B06, 1
B06, Trade, 1375.773, 223, B06, S03, 1
B06, Trade, 4316.955, 216, S02, B06, 1
B06, Trade, 4414.364, 214, B06, S04, 1
B06, Trade, 5002.636, 204, S03, B06, 1
B06, Trade, 5100.227, 204, B06, S04, 1
B06, Trade, 5199.182, 219, B06, S03, 1
B06, Trade, 5299.136, 217, B06, S04, 1
B06, Trade, 5985.091, 215, B06, S00, 1
B06, Trade, 6082.227, 214, B06, S03, 1
B06, Trade, 6179.500, 192, S03, B06, 1
B06, Trade, 6277.591, 190, S00, B06, 1
B06, Trade, 6375.000, 191, S01, B06, 1
B07, 27
B07, Trade, 100.636, 217, B07, S01, 1
B07, Trade, 197.227, 201, S05, B07, 1
B07, Trade, 297.955, 203, S00, B07, 1
B07, Trade, 491.045, 212, B07, S00, 1
B07, Trade, 686.955, 205, B07, S03, 1
B07, Trade, 785.591, 204, B07, S03, 1
B07, Trade, 1179.727, 229, S02, B07, 1
B07, Trade, 1275.318, 227, S04, B07, 1
B07, Trade, 1374.182, 226, S00, B07, 1
B07, Trade, 1471.591, 224, B07, S03, 1
B07, Trade, 1572.091, 223, B07, S03, 1
B07, Trade, 1668.773, 221, S03, B07, 1
B07, Trade, 1766.545, 219, S02, B07, 1
B07, Trade, 1863.682, 219, S05, B07, 1
B07, Trade, 2354.227, 236, S02, B07, 1
B07, Trade, 4219.864, 241, B07, S03, 1
B07, Trade, 4317.909, 213, S01, B07, 1
B07, Trade, 4806.273, 232, B07, S05, 1
B07, Trade, 4904.591, 230, B07, S02, 1
B07, Trade, 5002.091, 217, S00, B07, 1
B07, Trade, 5100.773, 209, B07, S05, 1
B07, Trade, 5297.818, 218, S00, B07, 1
B07, Trade, 6083.091, 211, S05, B07, 1
B07, Trade, 6179.136, 180, S04, B07, 1
B07, Trade, 6278.409, 192, S04, B07, 1
B07, Trade, 6375.045, 191, S02, B07, 1
B07, Trade, 6476.409, 203, B07, S02, 1
B08, 29
B08, Trade, 99.455, 198, B08, S04, 1
B08, Trade, 196.727, 190, S02, B08, 1
B08, Trade, 295.000, 199, S04, B08, 1
B08, Trade, 492.000, 205, S04, B08, 1
B08, Trade, 589.182, 197, B08, S03, 1
B08, Trade, 687.909, 205, B08, S01, 1
B08, Trade, 784.864, 203, B08, S01, 1
B08, Trade, 883.136, 204, B08, S01, 1
B08, Trade, 1179.364, 228, S05, B08, 1
B08, Trade, 1275.864, 226, B08, S00, 1
B08, Trade, 1864.682, 215, B08, S02, 1
B08, Trade, 1962.545, 207, S02, B08, 1
B08, Trade, 2259.727, 259, B08, S02, 1
B08, Trade, 2453.955, 256, S00, B08, 1
B08, Trade, 4022.591, 250, S07, B08, 1
B08, Trade, 4120.000, 250, S05, B08, 1
B08, Trade, 4219.091, 244, B08, S02, 1
B08, Trade, 4317.591, 211, S00, B08, 1
B08, Trade, 4512.091, 210, S05, B08, 1
B08, Trade, 4709.545, 233, B08, S05, 1
B08, Trade, 4904.045, 226, S05, B08, 1
B08, Trade, 5004.818, 200, S02, B08, 1
B08, Trade, 5102.227, 229, B08, S00, 1
B08, Trade, 5199.409, 219, B08, S00, 1
B08, Trade, 5296.182, 218, B08, S03, 1
B08, Trade, 6081.455, 216, B08, S04, 1
B08, Trade, 6179.955, 189, B08, S00, 1
B08, Trade, 6376.000, 211, B08, S03, 1
B08, Trade, 6473.409, 204, B08, S01, 1
B09, 23
B09, Trade, 98.591, 181, S03, B09, 1
B09, Trade, 196.864, 194, S03, B09, 1
B09, Trade, 294.591, 196, B09, S03, 1
B09, Trade, 392.273, 200, S02, B09, 1
B09, Trade, 491.273, 204, S05, B09, 1
B09, Trade, 588.591, 197, S01, B09, 1
B09, Trade, 883.818, 203, B09, S03, 1
B09, Trade, 1275.955, 223, B09, S03, 1
B09, Trade, 2059.909, 207, S02, B09, 1
B09, Trade, 2453.591, 254, B09, S06, 1
B09, Trade, 2550.773, 253, B09, S00, 1
B09, Trade, 2649.818, 252, B09, S02, 1
B09, Trade, 4220.409, 237, B09, S04, 1
B09, Trade, 4318.591, 207, S04, B09, 1
B09, Trade, 4905.864, 219, S00, B09, 1
B09, Trade, 5005.727, 202, S01, B09, 1
B09, Trade, 5104.500, 220, B09, S03, 1
B09, Trade, 5198.773, 219, B09, S01, 1
B09, Trade, 5296.682, 218, B09, S05, 1
B09, Trade, 5983.818, 216, B09, S01, 1
B09, Trade, 6081.636, 214, B09, S02, 1
B09, Trade, 6178.955, 191, S01, B09, 1
B09, Trade, 6276.909, 200, B09, S02, 1
B10, 24
B10, Trade, 102.818, 224, B10, S05, 1
B10, Trade, 294.364, 189, B10, S01, 1
B10, Trade, 392.591, 202, B10, S01, 1
B10, Trade, 490.636, 198, S03, B10, 1
B10, Trade, 1177.182, 241, B10, S03, 1
B10, Trade, 1275.636, 227, S05, B10, 1
B10, Trade, 1864.500, 216, S04, B10, 1
B10, Trade, 2158.273, 208, S02, B10, 1
B10, Trade, 2256.500, 263, S04, B10, 1
B10, Trade, 2452.364, 252, B10, S04, 1
B10, Trade, 2551.591, 252, B10, S02, 1
B10, Trade, 4121.000, 246, S02, B10, 1
B10, Trade, 4218.409, 246, S00, B10, 1
B10, Trade, 4320.364, 208, S05, B10, 1
B10, Trade, 4413.909, 207, S05, B10, 1
B10, Trade, 4610.000, 210, S05, B10, 1
B10, Trade, 4708.455, 240, S06, B10, 1
B10, Trade, 5002.727, 207, B10, S04, 1
B10, Trade, 5101.409, 246, B10, S01, 1
B10, Trade, 5198.909, 221, S05, B10, 1
B10, Trade, 5298.409, 218, S01, B10, 1
B10, Trade, 5395.000, 217, B10, S04, 1
B10, Trade, 6080.682, 200, S00, B10, 1
B10, Trade, 6277.409, 190, S01, B10, 1
S00, 18
S00, Trade, 98.409, 138, B04, S00, 1
S00, Trade, 297.955, 203, S00, B07, 1
S00, Trade, 491.045, 212, B07, S00, 1
S00, Trade, 1275.864, 226, B08, S00, 1
S00, Trade, 1374.182, 226, S00, B07, 1
S00, Trade, 2453.955, 256, S00, B08, 1
S00, Trade, 2550.773, 253, B09, S00, 1
S00, Trade, 4218.409, 246, S00, B10, 1
S00, Trade, 4317.591, 211, S00, B08, 1
S00, Trade, 4905.864, 219, S00, B09, 1
S00, Trade, 5002.091, 217, S00, B07, 1
S00, Trade, 5102.227, 229, B08, S00, 1
S00, Trade, 5199.409, 219, B08, S00, 1
S00, Trade, 5297.818, 218, S00, B07, 1
S00, Trade, 5985.091, 215, B06, S00, 1
S00, Trade, 6080.682, 200, S00, B10, 1
S00, Trade, 6179.955, 189, B08, S00, 1
S00, Trade, 6277.591, 190, S00, B06, 1
S01, 20
S01, Trade, 100.636, 217, B07, S01, 1
S01, Trade, 196.500, 155, S01, B05, 1
S01, Trade, 294.364, 189, B10, S01, 1
S01, Trade, 392.591, 202, B10, S01, 1
S01, Trade, 494.136, 199, B05, S01, 1
S01, Trade, 588.591, 197, S01, B09, 1
S01, Trade, 687.909, 205, B08, S01, 1
S01, Trade, 784.864, 203, B08, S01, 1
S01, Trade, 883.136, 204, B08, S01, 1
S01, Trade, 4317.909, 213, S01, B07, 1
S01, Trade, 5005.727, 202, S01, B09, 1
S01, Trade, 5101.409, 246, B10, S01, 1
S01, Trade, 5198.773, 219, B09, S01, 1
S01, Trade, 5298.409, 218, S01, B10, 1
S01, Trade, 5983.818, 216, B09, S01, 1
S01, Trade, 6080.909, 187, S01, B05, 1
S01, Trade, 6178.955, 191, S01, B09, 1
S01, Trade, 6277.409, 190, S01, B10, 1
S01, Trade, 6375.000, 191, S01, B06, 1
S01, Trade, 6473.409, 204, B08, S01, 1
S02, 25
S02, Trade, 99.045, 150, B06, S02, 1
S02, Trade, 196.727, 190, S02, B08, 1
S02, Trade, 295.273, 206, B06, S02, 1
S02, Trade, 392.273, 200, S02, B09, 1
S02, Trade, 490.591, 186, S02, B06, 1
S02, Trade, 1179.727, 229, S02, B07, 1
S02, Trade, 1766.545, 219, S02, B07, 1
S02, Trade, 1864.682, 215, B08, S02, 1
S02, Trade, 1962.545, 207, S02, B08, 1
S02, Trade, 2059.909, 207, S02, B09, 1
S02, Trade, 2158.273, 208, S02, B10, 1
S02, Trade, 2259.727, 259, B08, S02, 1
