B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 0
B18, 0
B19, 0
B20, 0
B21, 0
B22, 0
B23, 0
B24, 0
B25, 0
B26, 0
B27, 0
B44, Trade, 543.409, 192, B44, S03, 1
B45, 9
B45, Trade, 64.265, 201, S20, B45, 1
B45, Trade, 130.720, 201, S33, B45, 1
B45, Trade, 186.402, 200, S31, B45, 1
B45, Trade, 256.197, 209, S35, B45, 1
B45, Trade, 301.848, 193, S14, B45, 1
B45, Trade, 368.432, 199, S24, B45, 1
B45, Trade, 420.788, 197, S27, B45, 1
B45, Trade, 489.447, 197, S19, B45, 1
B45, Trade, 541.523, 197, S04, B45, 1
B46, 9
B46, Trade, 60.402, 201, S33, B46, 1
B46, Trade, 120.121, 177, S16, B46, 1
B46, Trade, 180.591, 199, S23, B46, 1
B46, Trade, 241.689, 200, S32, B46, 1
B46, Trade, 300.364, 199, S24, B46, 1
B46, Trade, 362.068, 199, S23, B46, 1
B46, Trade, 422.780, 196, S12, B46, 1
B46, Trade, 480.508, 249, B46, S24, 1
B46, Trade, 540.545, 198, S20, B46, 1
B47, 9
B47, Trade, 60.621, 206, B47, S02, 1
B47, Trade, 120.780, 192, S15, B47, 1
B47, Trade, 181.303, 201, S33, B47, 1
B47, Trade, 241.962, 202, S13, B47, 1
B47, Trade, 313.189, 194, S31, B47, 1
B47, Trade, 360.144, 224, S39, B47, 1
B47, Trade, 425.917, 196, S29, B47, 1
B47, Trade, 485.598, 206, S20, B47, 1
B47, Trade, 547.576, 201, S33, B47, 1
B48, 5
B48, Trade, 120.492, 192, B48, S19, 1
B48, Trade, 241.303, 201, S33, B48, 1
B48, Trade, 423.485, 193, B48, S03, 1
B48, Trade, 481.962, 223, B48, S33, 1
B48, Trade, 543.780, 192, B48, S27, 1
B49, 8
B49, Trade, 60.500, 221, B49, S19, 1
B49, Trade, 123.091, 194, S31, B49, 1
B49, Trade, 180.167, 203, S13, B49, 1
B49, Trade, 240.652, 205, S09, B49, 1
B49, Trade, 300.114, 135, S11, B49, 1
B49, Trade, 368.189, 196, B49, S21, 1
B49, Trade, 480.455, 233, S38, B49, 1
B49, Trade, 549.538, 191, B49, S16, 1
B50, 2
B50, Trade, 481.909, 227, S30, B50, 1
B50, Trade, 543.015, 194, S26, B50, 1
B51, 9
B51, Trade, 61.318, 195, B51, S14, 1
B51, Trade, 121.848, 193, S26, B51, 1
B51, Trade, 180.629, 198, B51, S03, 1
B51, Trade, 240.985, 199, S26, B51, 1
B51, Trade, 301.803, 193, B51, S13, 1
B51, Trade, 365.045, 197, S14, B51, 1
B51, Trade, 422.424, 194, S10, B51, 1
B51, Trade, 481.689, 229, S01, B51, 1
B51, Trade, 540.720, 195, B51, S11, 1
B52, 9
B52, Trade, 60.765, 224, S39, B52, 1
B52, Trade, 121.303, 195, S04, B52, 1
B52, Trade, 181.000, 200, S05, B52, 1
B52, Trade, 241.394, 201, S15, B52, 1
B52, Trade, 303.189, 193, S19, B52, 1
B52, Trade, 360.114, 195, S22, B52, 1
B52, Trade, 420.197, 224, S37, B52, 1
B52, Trade, 480.197, 249, S46, B52, 1
B52, Trade, 544.182, 195, S23, B52, 1
B53, 7
B53, Trade, 60.970, 193, B53, S23, 1
B53, Trade, 207.424, 198, S22, B53, 1
B53, Trade, 240.333, 209, B53, S23, 1
B53, Trade, 302.826, 191, B53, S00, 1
B53, Trade, 360.538, 190, B53, S25, 1
B53, Trade, 458.341, 193, B53, S16, 1
B53, Trade, 480.674, 235, B53, S07, 1
B54, 9
B54, Trade, 60.818, 227, S40, B54, 1
B54, Trade, 121.447, 196, S13, B54, 1
B54, Trade, 181.174, 200, S27, B54, 1
B54, Trade, 240.841, 204, S27, B54, 1
B54, Trade, 300.803, 192, S04, B54, 1
B54, Trade, 361.871, 198, S19, B54, 1
B54, Trade, 422.674, 195, S24, B54, 1
B54, Trade, 480.174, 196, S04, B54, 1
B54, Trade, 540.318, 208, S21, B54, 1
B55, 2
B55, Trade, 480.636, 236, S35, B55, 1
B55, Trade, 541.098, 198, S17, B55, 1
B56, 2
B56, Trade, 480.902, 233, S32, B56, 1
B56, Trade, 540.833, 198, S29, B56, 1
B57, 2
B57, Trade, 480.962, 233, B57, S09, 1
B57, Trade, 541.659, 198, S19, B57, 1
B58, 8
B58, Trade, 61.705, 214, S27, B58, 1
B58, Trade, 120.848, 190, B58, S27, 1
B58, Trade, 185.932, 198, B58, S21, 1
B58, Trade, 246.371, 200, B58, S20, 1
B58, Trade, 368.795, 195, B58, S28, 1
B58, Trade, 421.106, 194, B58, S21, 1
B58, Trade, 480.523, 227, B58, S31, 1
B58, Trade, 540.500, 197, B58, S06, 1
B59, 9
B59, Trade, 60.364, 195, B59, S12, 1
B59, Trade, 121.780, 193, S09, B59, 1
B59, Trade, 181.856, 200, S14, B59, 1
B59, Trade, 242.250, 200, B59, S29, 1
B59, Trade, 301.053, 193, S22, B59, 1
B59, Trade, 361.288, 198, S09, B59, 1
B59, Trade, 421.871, 194, S31, B59, 1
B59, Trade, 482.500, 225, B59, S06, 1
B59, Trade, 540.280, 195, B59, S22, 1
B60, 9
B60, Trade, 60.144, 200, S32, B60, 1
B60, Trade, 123.848, 198, S32, B60, 1
B60, Trade, 181.879, 201, S12, B60, 1
B60, Trade, 241.705, 200, S24, B60, 1
B60, Trade, 303.561, 193, S12, B60, 1
B60, Trade, 360.955, 198, S04, B60, 1
B60, Trade, 424.182, 195, S15, B60, 1
B60, Trade, 481.530, 231, S34, B60, 1
B60, Trade, 543.848, 194, S13, B60, 1
B61, 2
B61, Trade, 481.697, 228, B61, S36, 1
B61, Trade, 540.371, 198, S12, B61, 1
B62, 9
B62, Trade, 62.689, 208, S10, B62, 1
B62, Trade, 121.856, 195, S02, B62, 1
B62, Trade, 180.818, 200, S29, B62, 1
B62, Trade, 242.500, 201, S31, B62, 1
B62, Trade, 301.038, 193, S15, B62, 1
B62, Trade, 368.280, 197, S13, B62, 1
B62, Trade, 422.917, 196, S19, B62, 1
B62, Trade, 481.515, 229, S18, B62, 1
B62, Trade, 546.682, 198, S32, B62, 1
B63, 9
B63, Trade, 61.485, 194, B63, S22, 1
B63, Trade, 120.318, 184, B63, S17, 1
B63, Trade, 180.697, 199, B63, S04, 1
B63, Trade, 241.311, 200, B63, S25, 1
B63, Trade, 301.674, 193, S10, B63, 1
B63, Trade, 360.735, 196, S05, B63, 1
B63, Trade, 420.826, 195, B63, S00, 1
B63, Trade, 481.727, 227, B63, S00, 1
B63, Trade, 540.197, 194, B63, S02, 1
B64, 9
B64, Trade, 60.523, 195, B64, S25, 1
B64, Trade, 120.924, 192, S14, B64, 1
B64, Trade, 181.629, 200, S15, B64, 1
B64, Trade, 241.576, 199, B64, S05, 1
B64, Trade, 301.265, 193, B64, S27, 1
B64, Trade, 361.462, 197, B64, S27, 1
B64, Trade, 422.742, 195, S14, B64, 1
B64, Trade, 480.439, 229, B64, S23, 1
B64, Trade, 542.114, 194, B64, S10, 1
B65, 9
B65, Trade, 64.758, 201, B65, S29, 1
B65, Trade, 127.409, 197, B65, S03, 1
B65, Trade, 180.583, 199, S17, B65, 1
B65, Trade, 240.136, 197, S19, B65, 1
B65, Trade, 304.295, 192, S20, B65, 1
B65, Trade, 361.705, 197, B65, S15, 1
B65, Trade, 421.644, 194, S04, B65, 1
B65, Trade, 481.295, 227, B65, S40, 1
B65, Trade, 540.561, 196, B65, S18, 1
S00, 9
S00, Trade, 60.242, 195, B37, S00, 1
S00, Trade, 120.576, 191, B39, S00, 1
S00, Trade, 182.250, 199, B44, S00, 1
S00, Trade, 241.667, 198, B38, S00, 1
S00, Trade, 302.826, 191, B53, S00, 1
S00, Trade, 361.614, 196, B33, S00, 1
S00, Trade, 420.826, 195, B63, S00, 1
S00, Trade, 481.727, 227, B63, S00, 1
S00, Trade, 541.348, 194, B31, S00, 1
S01, 2
S01, Trade, 481.689, 229, S01, B51, 1
S01, Trade, 540.652, 195, B37, S01, 1
S02, 9
S02, Trade, 60.621, 206, B47, S02, 1
S02, Trade, 121.856, 195, S02, B62, 1
S02, Trade, 207.023, 198, B43, S02, 1
S02, Trade, 240.644, 204, B39, S02, 1
S02, Trade, 304.583, 191, B40, S02, 1
S02, Trade, 361.606, 198, S02, B43, 1
S02, Trade, 424.402, 196, S02, B42, 1
S02, Trade, 494.886, 194, B31, S02, 1
S02, Trade, 540.197, 194, B63, S02, 1
S03, 9
S03, Trade, 60.992, 218, B42, S03, 1
S03, Trade, 127.409, 197, B65, S03, 1
