B00, 0
B01, 0
B02, 0
B03, 0
B04, 3
B04, Trade, 2943.000, 167, B04, S01, 1
B04, Trade, 3041.955, 172, B04, S03, 1
B04, Trade, 4421.091, 174, B04, S03, 1
B05, 7
B05, Trade, 589.545, 198, B05, S04, 1
B05, Trade, 2256.727, 194, B05, S02, 1
B05, Trade, 2354.545, 191, S02, B05, 1
B05, Trade, 4021.955, 181, B05, S04, 1
B05, Trade, 4120.091, 176, S03, B05, 1
B05, Trade, 4316.591, 175, B05, S01, 1
B05, Trade, 4512.500, 174, S03, B05, 1
B06, 14
B06, Trade, 98.591, 153, B06, S02, 1
B06, Trade, 396.636, 215, S01, B06, 1
B06, Trade, 883.500, 209, B06, S00, 1
B06, Trade, 982.864, 208, B06, S00, 1
B06, Trade, 1079.000, 207, B06, S00, 1
B06, Trade, 2256.273, 187, S01, B06, 1
B06, Trade, 2354.773, 193, B06, S01, 1
B06, Trade, 2456.227, 190, B06, S01, 1
B06, Trade, 2845.909, 181, S00, B06, 1
B06, Trade, 2944.409, 177, S04, B06, 1
B06, Trade, 3139.591, 173, B06, S00, 1
B06, Trade, 3237.227, 172, B06, S03, 1
B06, Trade, 3336.591, 183, B06, S01, 1
B06, Trade, 3631.000, 181, S04, B06, 1
B07, 26
B07, Trade, 99.227, 235, B07, S01, 1
B07, Trade, 196.545, 234, B07, S01, 1
B07, Trade, 294.318, 217, S03, B07, 1
B07, Trade, 392.818, 224, B07, S05, 1
B07, Trade, 490.364, 208, S03, B07, 1
B07, Trade, 686.682, 193, S03, B07, 1
B07, Trade, 882.864, 211, B07, S05, 1
B07, Trade, 1080.773, 207, S05, B07, 1
B07, Trade, 1177.136, 206, S01, B07, 1
B07, Trade, 1374.818, 205, B07, S04, 1
B07, Trade, 1473.955, 204, B07, S03, 1
B07, Trade, 1669.773, 202, B07, S04, 1
B07, Trade, 1766.591, 202, S01, B07, 1
B07, Trade, 2257.136, 197, B07, S03, 1
B07, Trade, 2354.318, 194, S03, B07, 1
B07, Trade, 2452.500, 192, S02, B07, 1
B07, Trade, 2551.318, 191, S03, B07, 1
B07, Trade, 2649.727, 190, S01, B07, 1
B07, Trade, 2845.000, 165, S01, B07, 1
B07, Trade, 2943.318, 177, S00, B07, 1
B07, Trade, 3042.545, 172, S00, B07, 1
B07, Trade, 3140.227, 174, S03, B07, 1
B07, Trade, 3237.455, 173, S02, B07, 1
B07, Trade, 3335.409, 172, B07, S02, 1
B07, Trade, 3630.045, 181, S03, B07, 1
B07, Trade, 3727.409, 181, S01, B07, 1
B08, 20
B08, Trade, 98.136, 101, S00, B08, 1
