B00, 0
B01, 0
B02, 0
B03, 1
S03, Trade, 542.159, 205, B11, S03, 1
S04, 9
S04, Trade, 61.273, 137, B05, S04, 1
S04, Trade, 120.227, 137, B05, S04, 1
S04, Trade, 181.295, 198, B14, S04, 1
S04, Trade, 243.545, 191, B17, S04, 1
S04, Trade, 301.841, 223, B17, S04, 1
S04, Trade, 362.682, 216, B17, S04, 1
S04, Trade, 420.409, 215, B14, S04, 1
S04, Trade, 480.545, 213, B17, S04, 1
S04, Trade, 540.455, 125, S04, B08, 1
S05, 9
S05, Trade, 60.136, 155, B12, S05, 1
S05, Trade, 121.568, 190, B21, S05, 1
S05, Trade, 180.750, 172, B10, S05, 1
S05, Trade, 240.250, 137, S05, B12, 1
S05, Trade, 301.068, 229, B14, S05, 1
S05, Trade, 360.636, 223, B21, S05, 1
S05, Trade, 422.409, 213, B21, S05, 1
S05, Trade, 481.273, 213, B15, S05, 1
S05, Trade, 540.477, 137, S05, B10, 1
S06, 6
S06, Trade, 60.114, 199, B14, S06, 1
S06, Trade, 124.136, 200, S06, B11, 1
S06, Trade, 180.705, 179, S06, B20, 1
S06, Trade, 240.864, 206, S06, B18, 1
S06, Trade, 421.091, 218, S06, B19, 1
S06, Trade, 540.864, 215, S06, B16, 1
S07, 9
S07, Trade, 60.591, 160, S07, B17, 1
S07, Trade, 120.182, 160, S07, B12, 1
S07, Trade, 180.864, 205, B11, S07, 1
S07, Trade, 240.455, 205, B11, S07, 1
S07, Trade, 300.205, 160, S07, B11, 1
S07, Trade, 362.341, 217, B15, S07, 1
S07, Trade, 422.045, 214, B12, S07, 1
S07, Trade, 483.705, 211, B14, S07, 1
S07, Trade, 540.841, 182, B12, S07, 1
S08, 5
S08, Trade, 60.341, 202, S08, B13, 1
S08, Trade, 121.523, 246, S08, B19, 1
S08, Trade, 363.932, 224, S08, B18, 1
S08, Trade, 480.500, 218, S08, B16, 1
S08, Trade, 541.045, 226, S08, B13, 1
S09, 6
S09, Trade, 61.000, 198, S09, B21, 1
