B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
S05, Trade, 30.375, 214, B26, S05, 1
S05, Trade, 47.275, 213, S05, B39, 1
S06, 3
S06, Trade, 1.437, 192, B32, S06, 1
S06, Trade, 29.512, 215, S06, B35, 1
S06, Trade, 82.188, 211, B28, S06, 1
S07, 5
S07, Trade, 3.763, 197, B21, S07, 1
S07, Trade, 12.275, 217, B31, S07, 1
S07, Trade, 46.388, 213, S07, B24, 1
S07, Trade, 54.463, 212, B37, S07, 1
S07, Trade, 86.750, 210, S07, B27, 1
S08, 5
S08, Trade, 14.787, 215, B35, S08, 1
S08, Trade, 29.375, 214, B38, S08, 1
S08, Trade, 57.575, 211, B23, S08, 1
S08, Trade, 65.163, 211, B32, S08, 1
S08, Trade, 80.288, 211, B39, S08, 1
S09, 5
S09, Trade, 10.525, 218, B33, S09, 1
S09, Trade, 13.900, 216, B37, S09, 1
S09, Trade, 31.600, 214, B23, S09, 1
S09, Trade, 54.488, 212, B24, S09, 1
S09, Trade, 86.563, 210, S09, B39, 1
S10, 4
S10, Trade, 13.225, 219, B27, S10, 1
S10, Trade, 19.800, 215, B32, S10, 1
S10, Trade, 32.450, 214, S10, B39, 1
S10, Trade, 87.688, 209, B38, S10, 1
S11, 3
S11, Trade, 5.938, 172, S11, B28, 1
S11, Trade, 18.087, 215, B33, S11, 1
S11, Trade, 102.050, 210, S11, B27, 1
S12, 5
S12, Trade, 2.663, 218, B34, S12, 1
S12, Trade, 20.137, 215, B39, S12, 1
S12, Trade, 30.287, 214, B22, S12, 1
S12, Trade, 47.325, 212, B35, S12, 1
S12, Trade, 84.438, 210, B22, S12, 1
S13, 4
S13, Trade, 4.538, 176, S13, B29, 1
S13, Trade, 20.575, 215, B37, S13, 1
S13, Trade, 32.650, 213, B34, S13, 1
S13, Trade, 82.263, 212, S13, B27, 1
S14, 4
S14, Trade, 7.288, 206, B30, S14, 1
S14, Trade, 34.525, 213, B31, S14, 1
S14, Trade, 44.188, 213, B36, S14, 1
S14, Trade, 85.975, 210, B30, S14, 1
S15, 1
S15, Trade, 6.300, 180, S15, B35, 1
S16, 3
S16, Trade, 8.000, 212, B25, S16, 1
S16, Trade, 54.475, 212, B27, S16, 1
S16, Trade, 85.088, 210, B32, S16, 1
