B00, 0
B01, 0
B02, 1
B21, Trade, 162.962, 190, B21, S12, 1
B21, Trade, 168.050, 197, B21, S16, 1
B21, Trade, 177.800, 209, B21, S08, 1
B21, Trade, 181.100, 200, B21, S00, 1
B21, Trade, 193.987, 193, S13, B21, 1
B21, Trade, 210.550, 181, B21, S14, 1
B21, Trade, 218.450, 202, B21, S09, 1
B21, Trade, 230.550, 209, B21, S20, 1
B21, Trade, 233.987, 195, B21, S02, 1
B21, Trade, 245.862, 198, B21, S07, 1
B21, Trade, 260.350, 207, B21, S06, 1
B21, Trade, 273.175, 202, B21, S04, 1
B21, Trade, 279.937, 186, B21, S00, 1
B21, Trade, 293.662, 192, B21, S04, 1
B21, Trade, 294.962, 193, S01, B21, 1
B21, Trade, 317.100, 340, B21, S11, 1
B21, Trade, 330.275, 350, B21, S15, 1
B21, Trade, 338.100, 347, S13, B21, 1
B21, Trade, 346.837, 346, B21, S02, 1
B21, Trade, 355.850, 347, B21, S16, 1
B21, Trade, 367.725, 340, S09, B21, 1
B21, Trade, 378.087, 348, B21, S11, 1
B21, Trade, 392.137, 346, B21, S10, 1
B21, Trade, 400.662, 341, S16, B21, 1
B21, Trade, 404.837, 344, B21, S15, 1
B21, Trade, 418.600, 351, S13, B21, 1
B21, Trade, 429.450, 352, B21, S02, 1
B21, Trade, 438.900, 344, S01, B21, 1
B21, Trade, 449.300, 345, B21, S16, 1
B21, Trade, 456.775, 349, B21, S16, 1
B21, Trade, 464.812, 350, B21, S12, 1
B21, Trade, 482.850, 349, B21, S12, 1
B21, Trade, 484.262, 348, B21, S05, 1
B21, Trade, 493.562, 346, B21, S09, 1
B21, Trade, 506.650, 347, B21, S10, 1
B21, Trade, 514.825, 347, S13, B21, 1
B21, Trade, 531.387, 344, B21, S08, 1
B21, Trade, 541.312, 348, B21, S02, 1
B21, Trade, 550.137, 350, B21, S04, 1
B21, Trade, 553.612, 350, B21, S04, 1
B21, Trade, 570.875, 343, S03, B21, 1
B21, Trade, 573.400, 341, S16, B21, 1
B21, Trade, 584.800, 346, B21, S10, 1
B22, 58
B22, Trade, 3.313, 199, B22, S05, 1
B22, Trade, 21.500, 190, B22, S10, 1
B22, Trade, 27.337, 188, B22, S14, 1
B22, Trade, 41.688, 197, B22, S05, 1
B22, Trade, 47.525, 203, S20, B22, 1
B22, Trade, 58.113, 192, B22, S16, 1
B22, Trade, 67.100, 195, B22, S16, 1
B22, Trade, 76.125, 195, B22, S09, 1
B22, Trade, 88.400, 203, S20, B22, 1
B22, Trade, 97.050, 202, B22, S00, 1
B22, Trade, 108.213, 193, B22, S14, 1
B22, Trade, 119.238, 195, S11, B22, 1
B22, Trade, 126.438, 192, B22, S08, 1
B22, Trade, 134.038, 204, B22, S12, 1
B22, Trade, 145.863, 207, S01, B22, 1
B22, Trade, 156.062, 180, B22, S14, 1
B22, Trade, 170.937, 202, B22, S06, 1
B22, Trade, 184.050, 203, B22, S12, 1
B22, Trade, 185.850, 198, B22, S12, 1
B22, Trade, 199.762, 195, B22, S00, 1
B22, Trade, 209.412, 196, B22, S00, 1
