B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
S15, Trade, 25.900, 192, B39, S15, 1
S15, Trade, 28.737, 192, S15, B21, 1
S15, Trade, 40.175, 189, B32, S15, 1
S15, Trade, 62.888, 189, B25, S15, 1
S16, 3
S16, Trade, 12.650, 196, S16, B27, 1
S16, Trade, 32.637, 190, B25, S16, 1
S16, Trade, 41.663, 190, S16, B39, 1
S17, 2
S17, Trade, 9.987, 193, S17, B27, 1
S17, Trade, 32.275, 190, B26, S17, 1
S18, 3
S18, Trade, 6.525, 195, S18, B32, 1
S18, Trade, 25.287, 193, S18, B20, 1
S18, Trade, 29.100, 191, B23, S18, 1
S19, 1
S19, Trade, 13.287, 196, S19, B36, 1
S20, 0
S21, 0
S22, 0
S23, 0
S24, 0
S25, 0
S26, 0
S27, 0
S28, 0
S29, 0
S30, 0
S31, 0
S32, 0
S33, 0
S34, 0
S35, 0
S36, 0
S37, 0
S38, 0
S39, 0
