B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
S14, Trade, 51.263, 206, S14, B25, 1
S14, Trade, 60.450, 204, S14, B27, 1
S14, Trade, 63.775, 202, B20, S14, 1
S15, 3
S15, Trade, 10.962, 207, B31, S15, 1
S15, Trade, 51.313, 205, B21, S15, 1
S15, Trade, 70.075, 201, S15, B32, 1
S16, 4
S16, Trade, 9.700, 212, S16, B36, 1
S16, Trade, 52.425, 204, B31, S16, 1
S16, Trade, 60.875, 203, B26, S16, 1
S16, Trade, 61.013, 203, B30, S16, 1
S17, 2
S17, Trade, 6.813, 198, S17, B35, 1
S17, Trade, 60.613, 203, B24, S17, 1
S18, 3
S18, Trade, 9.225, 195, S18, B39, 1
S18, Trade, 51.388, 205, B22, S18, 1
S18, Trade, 65.375, 201, B39, S18, 1
S19, 3
S19, Trade, 15.550, 206, B21, S19, 1
S19, Trade, 51.850, 205, B32, S19, 1
S19, Trade, 65.125, 201, B32, S19, 1
S20, 2
S20, Trade, 9.363, 211, S20, B33, 1
S20, Trade, 60.963, 203, B33, S20, 1
S21, 1
S21, Trade, 10.325, 213, S21, B26, 1
S22, 0
S23, 0
S24, 0
S25, 0
S26, 0
S27, 0
S28, 0
S29, 0
S30, 0
S31, 0
S32, 0
S33, 0
S34, 0
S35, 0
S36, 0
S37, 0
S38, 0
S39, 0
