B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 1
B14, Trade, 1.750, 110, B14, S01, 1
B15, 0
B16, 0
B17, 0
B18, 0
B19, 1
B19, Trade, 10.237, 195, B19, S12, 1
B20, 1
B20, Trade, 10.150, 199, B20, S09, 1
B21, 1
B21, Trade, 4.325, 194, B21, S05, 1
B22, 1
B22, Trade, 3.363, 182, S16, B22, 1
B23, 2
B23, Trade, 11.200, 199, B23, S05, 1
B23, Trade, 16.862, 200, B23, S12, 1
B24, 1
B24, Trade, 23.987, 199, B24, S12, 1
B25, 3
B25, Trade, 9.450, 200, B25, S00, 1
B25, Trade, 12.187, 199, B25, S03, 1
B25, Trade, 24.100, 200, S17, B25, 1
B26, 2
B26, Trade, 9.675, 200, B26, S07, 1
B26, Trade, 11.687, 200, S13, B26, 1
B27, 2
B27, Trade, 9.350, 203, B27, S14, 1
B27, Trade, 19.462, 200, B27, S03, 1
B28, 2
B28, Trade, 2.775, 177, S10, B28, 1
B28, Trade, 14.450, 199, B28, S04, 1
B29, 2
B29, Trade, 5.400, 184, S11, B29, 1
B29, Trade, 19.212, 201, S07, B29, 1
B30, 1
B30, Trade, 10.737, 206, B30, S04, 1
B31, 3
B31, Trade, 10.975, 206, B31, S09, 1
B31, Trade, 24.112, 199, B31, S11, 1
B31, Trade, 39.050, 199, B31, S12, 1
B32, 2
B32, Trade, 6.538, 197, B32, S08, 1
B32, Trade, 19.675, 200, B32, S10, 1
B33, 2
B33, Trade, 8.613, 213, B33, S02, 1
B33, Trade, 19.712, 200, B33, S02, 1
B34, 2
B34, Trade, 7.075, 217, S17, B34, 1
B34, Trade, 18.637, 200, B34, S16, 1
B35, 2
B35, Trade, 9.013, 218, S15, B35, 1
B35, Trade, 13.000, 204, S11, B35, 1
B36, 2
B36, Trade, 9.288, 215, S19, B36, 1
B36, Trade, 18.062, 201, S06, B36, 1
B37, 2
B37, Trade, 5.875, 205, S20, B37, 1
B37, Trade, 19.350, 200, B37, S18, 1
B38, 1
B38, Trade, 1.787, 133, S06, B38, 1
B39, 1
B39, Trade, 3.425, 197, S18, B39, 1
S00, 1
S00, Trade, 9.450, 200, B25, S00, 1
S01, 1
S01, Trade, 1.750, 110, B14, S01, 1
S02, 2
S02, Trade, 8.613, 213, B33, S02, 1
S02, Trade, 19.712, 200, B33, S02, 1
S03, 2
S03, Trade, 12.187, 199, B25, S03, 1
S03, Trade, 19.462, 200, B27, S03, 1
S04, 2
S04, Trade, 10.737, 206, B30, S04, 1
S04, Trade, 14.450, 199, B28, S04, 1
S05, 2
S05, Trade, 4.325, 194, B21, S05, 1
S05, Trade, 11.200, 199, B23, S05, 1
S06, 2
S06, Trade, 1.787, 133, S06, B38, 1
S06, Trade, 18.062, 201, S06, B36, 1
S07, 2
S07, Trade, 9.675, 200, B26, S07, 1
S07, Trade, 19.212, 201, S07, B29, 1
S08, 1
S08, Trade, 6.538, 197, B32, S08, 1
S09, 2
S09, Trade, 10.150, 199, B20, S09, 1
S09, Trade, 10.975, 206, B31, S09, 1
S10, 2
S10, Trade, 2.775, 177, S10, B28, 1
S10, Trade, 19.675, 200, B32, S10, 1
S11, 3
S11, Trade, 5.400, 184, S11, B29, 1
S11, Trade, 13.000, 204, S11, B35, 1
S11, Trade, 24.112, 199, B31, S11, 1
S12, 4
S12, Trade, 10.237, 195, B19, S12, 1
S12, Trade, 16.862, 200, B23, S12, 1
S12, Trade, 23.987, 199, B24, S12, 1
S12, Trade, 39.050, 199, B31, S12, 1
S13, 1
S13, Trade, 11.687, 200, S13, B26, 1
S14, 1
S14, Trade, 9.350, 203, B27, S14, 1
S15, 1
S15, Trade, 9.013, 218, S15, B35, 1
S16, 2
S16, Trade, 3.363, 182, S16, B22, 1
S16, Trade, 18.637, 200, B34, S16, 1
S17, 2
S17, Trade, 7.075, 217, S17, B34, 1
S17, Trade, 24.100, 200, S17, B25, 1
S18, 2
S18, Trade, 3.425, 197, S18, B39, 1
S18, Trade, 19.350, 200, B37, S18, 1
S19, 1
S19, Trade, 9.288, 215, S19, B36, 1
S20, 1
S20, Trade, 5.875, 205, S20, B37, 1
S21, 0
S22, 0
S23, 0
S24, 0
S25, 0
S26, 0
S27, 0
S28, 0
S29, 0
S30, 0
S31, 0
S32, 0
S33, 0
S34, 0
S35, 0
S36, 0
S37, 0
S38, 0
S39, 0
