B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
S04, Trade, 120.513, 194, S04, B35, 1
S05, 3
S05, Trade, 1.512, 215, B24, S05, 1
S05, Trade, 23.437, 195, B21, S05, 1
S05, Trade, 90.575, 194, S05, B23, 1
S06, 4
S06, Trade, 7.250, 212, B23, S06, 1
S06, Trade, 10.700, 181, S06, B34, 1
S06, Trade, 20.850, 196, B38, S06, 1
S06, Trade, 33.512, 195, B22, S06, 1
S07, 6
S07, Trade, 6.400, 219, B32, S07, 1
S07, Trade, 12.462, 195, S07, B23, 1
S07, Trade, 38.225, 195, B37, S07, 1
S07, Trade, 55.250, 193, B25, S07, 1
S07, Trade, 91.163, 193, B38, S07, 1
S07, Trade, 120.813, 193, B27, S07, 1
S08, 6
S08, Trade, 13.862, 194, B22, S08, 1
S08, Trade, 18.037, 196, B29, S08, 1
S08, Trade, 38.200, 195, B19, S08, 1
S08, Trade, 54.975, 194, B26, S08, 1
S08, Trade, 86.225, 193, B24, S08, 1
S08, Trade, 88.375, 193, B19, S08, 1
S09, 9
S09, Trade, 1.887, 201, B34, S09, 1
S09, Trade, 13.125, 197, B20, S09, 1
S09, Trade, 40.700, 194, B38, S09, 1
S09, Trade, 44.238, 194, B39, S09, 1
S09, Trade, 66.963, 193, B30, S09, 1
S09, Trade, 92.675, 193, B39, S09, 1
S09, Trade, 93.975, 193, B33, S09, 1
S09, Trade, 110.038, 193, B27, S09, 1
S09, Trade, 121.713, 193, B20, S09, 1
S10, 3
S10, Trade, 2.863, 199, B27, S10, 1
S10, Trade, 38.175, 196, S10, B22, 1
S10, Trade, 121.625, 193, B38, S10, 1
S11, 7
S11, Trade, 10.575, 180, B17, S11, 1
S11, Trade, 13.687, 195, B25, S11, 1
S11, Trade, 25.437, 195, B24, S11, 1
S11, Trade, 40.288, 195, B30, S11, 1
S11, Trade, 66.538, 194, S11, B22, 1
S11, Trade, 94.688, 194, S11, B22, 1
S11, Trade, 122.425, 193, S11, B25, 1
S12, 5
S12, Trade, 7.475, 219, B31, S12, 1
S12, Trade, 16.000, 196, B26, S12, 1
S12, Trade, 40.825, 194, B32, S12, 1
S12, Trade, 52.600, 194, B37, S12, 1
S12, Trade, 73.063, 194, S12, B22, 1
S13, 3
S13, Trade, 10.112, 183, S13, B26, 1
S13, Trade, 110.438, 193, B39, S13, 1
S13, Trade, 120.188, 193, B29, S13, 1
S14, 5
S14, Trade, 8.600, 215, S14, B38, 1
