B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
S04, Trade, 76.075, 166, B33, S04, 1
S04, Trade, 91.438, 165, S04, B26, 1
S05, 4
S05, Trade, 6.925, 170, B16, S05, 1
S05, Trade, 42.163, 169, S05, B32, 1
S05, Trade, 43.350, 168, B32, S05, 1
S05, Trade, 79.250, 165, B28, S05, 1
S06, 6
S06, Trade, 1.412, 133, S06, B23, 1
S06, Trade, 19.212, 169, S06, B25, 1
S06, Trade, 42.663, 168, B18, S06, 1
S06, Trade, 65.300, 168, S06, B32, 1
S06, Trade, 66.338, 167, B18, S06, 1
S06, Trade, 79.038, 165, B27, S06, 1
S07, 6
S07, Trade, 9.837, 162, S07, B20, 1
S07, Trade, 32.837, 169, S07, B26, 1
S07, Trade, 42.825, 168, S07, B20, 1
S07, Trade, 68.500, 166, B27, S07, 1
S07, Trade, 76.713, 166, S07, B18, 1
S07, Trade, 85.475, 165, B39, S07, 1
S08, 7
S08, Trade, 6.713, 203, B21, S08, 1
S08, Trade, 12.850, 171, S08, B24, 1
S08, Trade, 31.900, 168, B32, S08, 1
S08, Trade, 64.900, 167, B37, S08, 1
S08, Trade, 66.150, 167, B19, S08, 1
S08, Trade, 78.838, 165, B20, S08, 1
S08, Trade, 89.125, 165, B28, S08, 1
S09, 6
S09, Trade, 7.263, 152, S09, B35, 1
S09, Trade, 14.262, 170, S09, B28, 1
S09, Trade, 35.212, 168, B20, S09, 1
S09, Trade, 42.025, 168, B34, S09, 1
S09, Trade, 68.013, 167, B22, S09, 1
S09, Trade, 76.050, 166, B22, S09, 1
S10, 5
S10, Trade, 1.937, 189, B25, S10, 1
S10, Trade, 23.812, 169, S10, B36, 1
S10, Trade, 35.287, 169, S10, B19, 1
S10, Trade, 75.200, 167, S10, B29, 1
S10, Trade, 79.325, 165, B24, S10, 1
S11, 5
S11, Trade, 8.550, 171, S11, B24, 1
S11, Trade, 26.000, 169, S11, B26, 1
S11, Trade, 42.363, 168, B31, S11, 1
S11, Trade, 77.150, 166, S11, B23, 1
S11, Trade, 88.988, 166, S11, B31, 1
S12, 7
S12, Trade, 7.875, 168, S12, B39, 1
S12, Trade, 17.225, 170, S12, B26, 1
S12, Trade, 30.600, 169, S12, B31, 1
S12, Trade, 45.363, 168, S12, B36, 1
S12, Trade, 57.713, 167, B29, S12, 1
S12, Trade, 64.638, 167, B15, S12, 1
S12, Trade, 89.075, 166, S12, B24, 1
S13, 7
S13, Trade, 3.588, 248, B29, S13, 1
S13, Trade, 12.162, 176, S13, B30, 1
S13, Trade, 30.162, 168, B24, S13, 1
S13, Trade, 43.100, 168, B38, S13, 1
S13, Trade, 64.738, 168, S13, B31, 1
S13, Trade, 80.300, 165, B38, S13, 1
S13, Trade, 91.525, 165, S13, B29, 1
S14, 3
S14, Trade, 6.575, 224, B28, S14, 1
S14, Trade, 30.112, 169, S14, B30, 1
S14, Trade, 42.225, 168, B37, S14, 1
S15, 1
S15, Trade, 4.350, 248, B36, S15, 1
S16, 1
S16, Trade, 5.275, 250, B33, S16, 1
S17, 1
S17, Trade, 5.563, 247, B30, S17, 1
S18, 1
S18, Trade, 6.563, 240, B27, S18, 1
S19, 1
S19, Trade, 2.463, 256, B32, S19, 1
S20, 1
S20, Trade, 9.113, 206, S20, B38, 1
S21, 1
S21, Trade, 9.887, 239, S21, B34, 1
S22, 0
S23, 0
S24, 0
S25, 1
S25, Trade, 6.675, 251, S25, B31, 1
S26, 0
S27, 0
S28, 0
S29, 0
S30, 0
S31, 0
S32, 0
S33, 0
S34, 0
S35, 0
S36, 0
S37, 0
S38, 0
S39, 0
